trip_id,arrival_time,time_diff,minutes_past_midnight,period
13678475,18:16:04,7.0,1096.0666666666666,Late Afternoon
13678574,18:22:04,6.0,1102.0666666666666,Late Afternoon
13678476,18:28:04,6.0,1108.0666666666666,Late Afternoon
13678572,18:35:04,7.0,1115.0666666666666,Late Afternoon
13678575,18:45:04,10.0,1125.0666666666666,Late Afternoon
13678477,18:56:04,11.0,1136.0666666666666,Late Afternoon
13678478,19:08:04,12.0,1148.0666666666666,Late Afternoon
13719923,19:20:04,12.0,1160.0666666666666,Night
13678576,19:33:04,13.0,1173.0666666666666,Night
13678479,19:48:04,15.0,1188.0666666666666,Night
13678480,20:02:13,14.15,1202.2166666666667,Night
13678577,20:16:13,14.0,1216.2166666666667,Night
13678513,20:31:13,15.0,1231.2166666666667,Night
13678481,20:46:13,15.0,1246.2166666666667,Night
13678578,21:00:13,14.0,1260.2166666666667,Night
13678482,21:29:13,29.0,1289.2166666666667,Night
13678579,21:49:13,20.0,1309.2166666666667,Night
13678483,22:09:13,20.0,1329.2166666666667,Night
13678580,22:29:13,20.0,1349.2166666666667,Night
13678484,22:56:13,27.0,1376.2166666666667,Night
13678581,23:26:13,30.0,1406.2166666666667,Night
13678485,23:56:13,30.0,1436.2166666666667,Night
13678582,24:26:13,30.0,26.216666666666665,Overnight
13678486,24:56:13,30.0,56.21666666666667,Overnight
13678583,25:26:13,30.0,86.21666666666667,Overnight
